IBOV - Carteira do Dia 09/10/23,Código,Ação,Tipo,Qtde. Teórica,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,235661666,"0,336"
ALSO3,ALIANSCSONAE,ON      NM,532616595,"0,592"
ALPA4,ALPARGATAS,PN      N1,208965950,"0,084"
ABEV3,AMBEV S/A,ON,4394245879,"2,903"
ARZZ3,AREZZO CO,ON      NM,62305891,"0,199"
ASAI3,ASSAI,ON      NM,1349645897,"0,794"
AZUL4,AZUL,PN      N2,327593725,"0,21"
B3SA3,B3,ON      NM,5694552584,"3,377"
BBSE3,BBSEGURIDADE,ON      NM,671750768,"1,08"
BBDC3,BRADESCO,ON  EJ  N1,1500728902,"0,95"
BBDC4,BRADESCO,PN  EJ  N1,5146576868,"3,73"
BRAP4,BRADESPAR,PN      N1,251003438,"0,277"
BBAS3,BRASIL,ON      NM,1420949112,"3,477"
BRKM5,BRASKEM,PNA     N1,265479055,"0,254"
BRFS3,BRF SA,ON      NM,1677525446,"0,897"
BPAC11,BTGP BANCO,UNT     N2,1150645866,"1,783"
CRFB3,CARREFOUR BR,ON      NM,531372207,"0,239"
BHIA3,CASAS BAHIA,ON      NM,2361578440,"0,072"
CCRO3,CCR SA,ON      NM,995335937,"0,61"
CMIG4,CEMIG,PN      N1,1437415777,"0,873"
CIEL3,CIELO,ON      NM,1095462329,"0,19"
COGN3,COGNA ON,ON      NM,1815524541,"0,227"
CPLE6,COPEL,PNB EJ  N2,1679335290,"0,702"
CSAN3,COSAN,ON      NM,1168097881,"0,927"
CPFE3,CPFL ENERGIA,ON      NM,187732538,"0,313"
CMIN3,CSNMINERACAO,ON      N2,1110559345,"0,259"
CVCB3,CVC BRASIL,ON      NM,443905649,"0,058"
CYRE3,CYRELA REALT,ON      NM,265784616,"0,252"
DXCO3,DEXCO,ON      NM,303055637,"0,109"
ELET3,ELETROBRAS,ON      N1,1980568384,"3,453"
ELET6,ELETROBRAS,PNB     N1,270230714,"0,519"
EMBR3,EMBRAER,ON      NM,734632705,"0,615"
ENGI11,ENERGISA,UNT     N2,290435910,"0,639"
ENEV3,ENEVA,ON      NM,1578931315,"0,886"
EGIE3,ENGIE BRASIL,ON      NM,255230961,"0,52"
EQTL3,EQUATORIAL,ON      NM,1095587251,"1,708"
EZTC3,EZTEC,ON      NM,91514307,"0,077"
FLRY3,FLEURY,ON      NM,345269967,"0,269"
GGBR4,GERDAU,PN      N1,1118525506,"1,27"
GOAU4,GERDAU MET,PN      N1,660411219,"0,348"
GOLL4,GOL,PN      N2,198184909,"0,063"
NTCO3,GRUPO NATURA,ON      NM,839638069,"0,603"
SOMA3,GRUPO SOMA,ON      NM,496029967,"0,149"
HAPV3,HAPVIDA,ON      NM,4324011467,"0,875"
HYPE3,HYPERA,ON  EJ  NM,409490388,"0,722"
IGTI11,IGUATEMI S.A,UNT     N1,217622138,"0,217"
IRBR3,IRBBRASIL RE,ON      NM,81838843,"0,174"
ITSA4,ITAUSA,PN      N1,5197306576,"2,341"
ITUB4,ITAUUNIBANCO,PN  EJ  N1,4801593832,"6,711"
JBSS3,JBS,ON      NM,1134986472,"1,033"
KLBN11,KLABIN S/A,UNT     N2,706747385,"0,832"
RENT3,LOCALIZA,ON  EJS NM,852600726,"2,33"
LWSA3,LOCAWEB,ON      NM,425161586,"0,137"
LREN3,LOJAS RENNER,ON      NM,951318467,"0,6"
MGLU3,MAGAZ LUIZA,ON      NM,2867627068,"0,256"
MRFG3,MARFRIG,ON      NM,292587273,"0,1"
BEEF3,MINERVA,ON      NM,261036182,"0,106"
MRVE3,MRV,ON      NM,376187582,"0,17"
MULT3,MULTIPLAN,ON  EJ  N2,266965257,"0,326"
PCAR3,P.ACUCAR-CBD,ON      NM,159430826,"0,027"
PETR3,PETROBRAS,ON      N2,2585311860,"4,71"
PETR4,PETROBRAS,PN      N2,4566445852,"7,665"
RECV3,PETRORECSA,ON      NM,274957807,"0,266"
PRIO3,PETRORIO,ON      NM,798274909,"1,781"
PETZ3,PETZ,ON      NM,329077188,"0,068"
RADL3,RAIADROGASIL,ON  EJ  NM,1263596819,"1,768"
RAIZ4,RAIZEN,PN      N2,1193671389,"0,202"
RDOR3,REDE D OR,ON      NM,1168230366,"1,419"
RAIL3,RUMO S.A.,ON      NM,1218352541,"1,33"
SBSP3,SABESP,ON      NM,340001799,"1,025"
SANB11,SANTANDER BR,UNT,342918449,"0,467"
SMTO3,SAO MARTINHO,ON      NM,143294210,"0,266"
CSNA3,SID NACIONAL,ON,600865451,"0,347"
SLCE3,SLC AGRICOLA,ON      NM,101824365,"0,189"
SUZB3,SUZANO S.A.,ON      NM,683452836,"1,924"
TAEE11,TAESA,UNT     N2,218568234,"0,374"
VIVT3,TELEF BRASIL,ON,423091712,"0,95"
TIMS3,TIM,ON      NM,807896814,"0,613"
TOTS3,TOTVS,ON      NM,514122351,"0,683"
UGPA3,ULTRAPAR,ON      NM,1086411192,"1,007"
USIM5,USIMINAS,PNA     N1,515117391,"0,164"
VALE3,VALE,ON      NM,4427123466,"14,827"
VAMO3,VAMOS,ON      NM,421383330,"0,178"
VBBR3,VIBRA,ON      NM,1114412532,"1,063"
WEGE3,WEG,ON      NM,1481593024,"2,583"
YDUQ3,YDUQS PART,ON      NM,289347914,"0,281"
Quantidade Teórica Total,,,98476454882,100
Redutor,,,"17485516,8165202",
