SMLL - Carteira do Dia 18/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;2,055;
TTEN3;3TENTOS;ON      NM;113.777.586;0,419;
ABCB4;ABC BRASIL;PN      N2;66.485.201;0,530;
AERI3;AERIS;ON      NM;690.257.429;0,228;
AESB3;AES BRASIL;ON      NM;317.103.937;1,278;
AALR3;ALLIAR;ON      NM;5.721.492;0,021;
ALOS3;ALLOS;ON      NM;532.616.595;4,728;
ALPA4;ALPARGATAS;PN      N1;208.965.950;0,620;
ALUP11;ALUPAR;UNT     N2;145.652.351;1,437;
AMBP3;AMBIPAR;ON      NM;97.960.040;0,545;
ANIM3;ANIMA;ON      NM;256.834.750;0,370;
ARZZ3;AREZZO CO;ON      NM;62.305.891;1,353;
ARML3;ARMAC;ON      NM;171.399.108;0,952;
AZUL4;AZUL;PN      N2;327.593.725;1,723;
BPAN4;BANCO PAN;PN      N1;327.696.379;0,917;
BRSR6;BANRISUL;PNB     N1;202.191.040;0,853;
BMOB3;BEMOBI TECH;ON      NM;83.609.718;0,383;
BLAU3;BLAU;ON      NM;29.830.740;0,158;
BRAP4;BRADESPAR;PN      N1;251.003.438;2,027;
AGRO3;BRASILAGRO;ON      NM;59.736.251;0,514;
CAML3;CAMIL;ON      NM;97.829.997;0,259;
BHIA3;CASAS BAHIA;ON  EG  NM;94.463.137;0,349;
CBAV3;CBA;ON      NM;209.089.947;0,315;
CEAB3;CEA MODAS;ON      NM;103.292.235;0,280;
CIEL3;CIELO;ON      NM;1.095.462.329;1,642;
CLSA3;CLEARSALE;ON      NM;56.086.865;0,071;
COGN3;COGNA ON;ON      NM;1.815.524.541;2,091;
CSMG3;COPASA;ON  ED  NM;188.469.206;1,242;
CURY3;CURY S/A;ON      NM;120.291.325;0,682;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,560;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;2,075;
DASA3;DASA;ON      NM;142.275.891;0,457;
DXCO3;DEXCO;ON      NM;303.055.637;0,799;
PNVL3;DIMED;ON      NM;71.294.090;0,297;
DIRR3;DIRECIONAL;ON      NM;107.596.799;0,757;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;1,053;
EMBR3;EMBRAER;ON      NM;734.632.705;5,802;
ENAT3;ENAUTA PART;ON      NM;144.355.359;0,747;
ESPA3;ESPACOLASER;ON      NM;188.667.444;0,079;
EVEN3;EVEN;ON      NM;198.958.240;0,496;
EZTC3;EZTEC;ON      NM;91.514.307;0,565;
FESA4;FERBASA;PN  EJ  N1;40.495.100;0,606;
FLRY3;FLEURY;ON  EJ  NM;345.269.967;2,097;
FRAS3;FRAS-LE;ON      N1;89.492.359;0,486;
GFSA3;GAFISA;ON      NM;61.184.833;0,121;
GOAU4;GERDAU MET;PN      N1;660.411.219;2,288;
GOLL4;GOL;PN      N2;198.184.909;0,578;
GGPS3;GPS;ON      NM;366.447.063;2,328;
GRND3;GRENDENE;ON      NM;268.150.259;0,597;
SBFG3;GRUPO SBF;ON      NM;146.019.325;0,560;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;1,111;
GUAR3;GUARARAPES;ON      NM;81.927.760;0,177;
HBSA3;HIDROVIAS;ON      NM;759.856.429;0,943;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;1,779;
IFCM3;INFRACOMM;ON      NM;303.570.391;0,154;
INTB3;INTELBRAS;ON      NM;114.430.507;0,825;
MYPK3;IOCHP-MAXION;ON      NM;130.262.282;0,568;
RANI3;IRANI;ON      NM;102.762.865;0,378;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;1,288;
JALL3;JALLESMACHAD;ON      NM;99.892.997;0,257;
JHSF3;JHSF PART;ON      NM;276.516.565;0,445;
KEPL3;KEPLER WEBER;ON      NM;176.536.116;0,640;
LAVV3;LAVVI;ON  ED  NM;73.850.129;0,200;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,833;
LOGG3;LOG COM PROP;ON      NM;58.864.307;0,448;
LOGN3;LOG-IN;ON      NM;26.261.862;0,365;
LUPA3;LUPATECH;ON      NM;30.028.001;0,022;
POMO4;MARCOPOLO;PN      N2;563.920.799;1,285;
MRFG3;MARFRIG;ON      NM;292.587.273;0,887;
MATD3;MATER DEI;ON      NM;108.589.172;0,297;
CASH3;MELIUZ;ON      NM;69.177.973;0,183;
LEVE3;METAL LEVE;ON      NM;52.865.876;0,609;
MILS3;MILLS;ON      NM;179.747.379;0,791;
BEEF3;MINERVA;ON      NM;261.036.182;0,626;
MBLY3;MOBLY;ON      NM;44.444.445;0,031;
MOVI3;MOVIDA;ON      NM;124.051.424;0,495;
MRVE3;MRV;ON      NM;376.187.582;1,351;
MLAS3;MULTILASER;ON      NM;475.828.588;0,338;
ODPV3;ODONTOPREV;ON      NM;258.856.632;0,974;
ONCO3;ONCOCLINICAS;ON      NM;243.999.267;0,941;
ORVR3;ORIZON;ON      NM;42.889.362;0,507;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,211;
PGMN3;PAGUE MENOS;ON      NM;156.317.815;0,182;
RECV3;PETRORECSA;ON      NM;274.957.807;1,844;
PETZ3;PETZ;ON      NM;329.077.188;0,428;
PLPL3;PLANOEPLANO;ON      NM;54.382.044;0,214;
PTBL3;PORTOBELLO;ON      NM;54.759.327;0,129;
POSI3;POSITIVO TEC;ON      NM;73.288.753;0,165;
QUAL3;QUALICORP;ON      NM;278.477.812;0,290;
LJQQ3;QUERO-QUERO;ON      NM;179.429.429;0,338;
RAPT4;RANDON PART;PN      N1;176.608.769;0,767;
ROMI3;ROMI;ON      NM;45.071.574;0,199;
SAPR11;SANEPAR;UNT     N2;201.081.482;1,943;
STBP3;SANTOS BRP;ON      NM;857.415.274;2,557;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;1,357;
SEQL3;SEQUOIA LOG;ON      NM;190.811.427;0,028;
SEER3;SER EDUCA;ON      NM;52.255.107;0,144;
SRNA3;SERENA;ON      NM;334.702.211;1,083;
SIMH3;SIMPAR;ON      NM;227.674.814;0,708;
SLCE3;SLC AGRICOLA;ON  EB  NM;203.648.730;1,274;
SMFT3;SMART FIT;ON  EJ  NM;307.405.718;2,590;
TAEE11;TAESA;UNT     N2;218.568.234;2,691;
TASA4;TAURUS ARMAS;PN      N2;68.454.123;0,335;
TGMA3;TEGMA;ON      NM;32.001.379;0,286;
TEND3;TENDA;ON      NM;118.249.595;0,578;
TRIS3;TRISUL;ON      NM;71.441.396;0,133;
TUPY3;TUPY;ON      NM;67.461.415;0,597;
UNIP6;UNIPAR;PNB;45.770.287;1,178;
USIM5;USIMINAS;PNA     N1;515.117.391;1,505;
VLID3;VALID;ON  EJ  NM;77.300.098;0,530;
VIVA3;VIVARA S.A.;ON      NM;107.725.671;1,194;
VULC3;VULCABRAS;ON      NM;73.322.347;0,497;
WIZC3;WIZ CO;ON      NM;75.273.443;0,173;
YDUQ3;YDUQS PART;ON      NM;289.347.914;2,165;
ZAMP3;ZAMP S.A.;ON      NM;264.114.225;0,549;
Quantidade Teórica Total;;;26.042.098.789;100,000
Redutor;;;130.899.611,77939516
